rounded_price,count
0,3303
25000,4114
50000,11919
75000,24550
100000,35323
125000,46144
150000,55243
175000,59236
200000,57572
225000,56682
250000,59760
275000,52945
300000,47726
325000,42990
350000,39273
375000,35056
400000,30245
425000,27271
450000,23436
475000,19282
500000,16635
525000,14294
550000,13402
575000,11249
600000,10603
625000,9409
650000,8400
675000,6483
700000,6158
725000,5369
750000,5525
775000,4189
800000,4304
825000,3431
850000,3821
875000,2844
900000,2926
925000,2143
950000,2408
975000,1801
1000000,1982
1025000,914
1050000,1400
1075000,975
1100000,1667
1125000,787
1150000,1263
1175000,810
1200000,1471
1225000,727
1250000,1243
1275000,663
1300000,1070
1325000,569
1350000,823
1375000,501
1400000,858
1425000,387
1450000,624
1475000,371
1500000,820
1525000,315
1550000,472
1575000,332
1600000,530
1625000,273
1650000,435
1675000,238
1700000,444
1725000,220
1750000,449
1775000,197
1800000,416
1825000,189
1850000,312
1875000,156
1900000,330
1925000,130
1950000,221
1975000,107
2000000,364
2025000,86
2050000,132
2075000,74
2100000,243
2125000,85
2150000,168
2175000,83
2200000,211
2225000,79
2250000,179
2275000,70
2300000,194
2325000,40
2350000,122
2375000,54
2400000,162
2425000,54
2450000,121
2475000,42
2500000,248
2525000,43
2550000,81
2575000,45
2600000,118
2625000,52
2650000,91
2675000,51
2700000,132
2725000,43
2750000,130
2775000,40
2800000,113
2825000,49
2850000,82
2875000,34
2900000,85
2925000,34
2950000,64
2975000,20
3000000,175
3025000,19
3050000,51
3075000,26
3100000,93
3125000,29
3150000,47
3175000,20
3200000,73
3225000,12
3250000,80
3275000,19
3300000,77
3325000,17
3350000,59
3375000,26
3400000,60
3425000,26
3450000,33
3475000,13
3500000,104
3525000,14
3550000,33
3575000,12
3600000,46
3625000,12
3650000,49
3675000,13
3700000,35
3725000,16
3750000,53
3775000,8
3800000,52
3825000,10
3850000,32
3875000,9
3900000,44
3925000,12
3950000,40
3975000,9
4000000,79
4025000,17
4050000,24
4075000,14
4100000,40
4125000,15
4150000,22
4175000,6
4200000,47
4225000,26
4250000,48
4275000,7
4300000,24
4325000,5
4350000,20
4375000,19
4400000,34
4425000,12
4450000,13
4475000,13
4500000,79
4525000,8
4550000,21
4575000,3
4600000,26
4625000,14
4650000,14
4675000,5
4700000,20
4725000,8
4750000,22
4775000,10
4800000,30
4825000,13
4850000,23
4875000,9
4900000,18
4925000,9
4950000,14
4975000,3
5000000,63
5025000,4
5050000,6
5075000,2
5100000,23
5125000,6
5150000,23
5175000,9
5200000,20
5225000,6
5250000,21
5275000,4
5300000,18
5325000,6
5350000,15
5375000,6
5400000,18
5425000,4
5450000,7
5475000,8
5500000,20
5525000,5
5550000,7
5575000,4
5600000,14
5625000,7
5650000,10
5675000,6
5700000,13
5725000,7
5750000,21
5775000,4
5800000,16
5825000,8
5850000,6
5875000,6
5900000,27
5925000,2
5950000,15
5975000,4
6000000,46
6025000,6
6050000,8
6075000,12
6100000,16
6150000,11
6175000,3
6200000,15
6225000,6
6250000,13
6275000,1
6300000,22
6325000,1
6350000,7
6375000,4
6400000,9
6425000,4
6450000,8
6475000,8
6500000,39
6525000,2
6550000,5
6575000,1
6600000,7
6625000,3
6650000,9
6675000,4
6700000,5
6725000,1
6750000,13
6775000,2
6800000,13
6825000,1
6850000,4
6875000,1
6900000,8
6925000,1
6950000,5
6975000,2
7000000,24
7025000,3
7050000,5
7100000,10
7125000,1
7150000,6
7175000,3
7200000,12
7225000,3
7250000,9
7275000,4
7300000,14
7325000,2
7350000,7
7375000,2
7400000,7
7425000,2
7450000,4
7475000,2
7500000,26
7525000,1
7550000,8
7575000,2
7600000,9
7625000,2
7650000,11
7675000,1
7700000,3
7725000,4
7750000,12
7800000,9
7850000,6
7875000,1
7900000,13
7925000,1
7950000,4
7975000,2
8000000,30
8025000,2
8075000,4
8100000,10
8150000,6
8175000,2
8200000,5
8225000,2
8250000,11
8300000,2
8325000,3
8350000,5
8375000,2
8400000,8
8450000,4
8475000,3
8500000,12
8550000,1
8575000,1
8600000,7
8625000,1
8650000,4
8675000,2
8700000,6
8725000,2
8750000,3
8775000,2
8800000,5
8825000,1
8850000,7
8900000,1
8925000,2
8950000,5
8975000,3
9000000,15
9050000,7
9075000,1
9100000,3
9125000,4
9150000,4
9175000,1
9200000,3
9250000,1
9300000,2
9350000,1
9375000,3
9400000,1
9425000,3
9475000,1
9500000,4
9600000,6
9625000,1
9650000,2
9675000,2
9700000,3
9750000,6
9775000,1
9800000,1
9850000,2
9875000,1
9900000,1
9925000,2
9950000,5
9975000,1
10000000,24
10025000,2
10050000,8
10075000,1
10100000,1
10125000,2
10150000,12
10200000,3
10225000,1
10250000,4
10275000,1
10300000,5
10325000,1
10350000,3
10400000,5
10450000,4
10475000,2
10500000,8
10525000,1
10550000,1
10575000,1
10600000,1
10625000,2
10700000,3
10725000,2
10750000,3
10800000,9
10825000,1
10850000,1
10900000,1
10925000,2
10950000,5
11000000,16
11025000,2
11050000,1
11075000,1
11100000,3
11125000,1
11175000,3
11200000,4
11250000,3
11275000,1
11300000,2
11350000,3
11375000,3
11400000,3
11425000,1
11475000,1
11500000,10
11550000,4
11600000,2
11625000,2
11650000,4
11675000,2
11700000,2
11725000,2
11750000,7
11800000,1
11825000,2
11850000,2
11900000,2
11925000,2
11950000,2
12000000,15
12025000,2
12050000,1
12100000,2
12125000,1
12150000,1
12200000,2
12225000,1
12300000,2
12375000,1
12400000,2
12425000,1
12450000,2
12500000,11
12525000,1
12550000,3
12575000,1
12600000,5
12700000,2
12725000,1
12750000,4
12800000,6
12850000,3
12900000,2
12925000,1
12975000,1
13000000,10
13050000,1
13075000,1
13100000,3
13175000,1
13200000,8
13225000,1
13250000,5
13350000,1
13400000,2
13500000,2
13525000,2
13550000,1
13575000,2
13600000,2
13650000,1
13675000,1
13750000,1
13775000,1
13800000,2
13850000,3
13875000,1
13900000,5
13925000,1
13975000,2
14000000,10
14075000,1
14100000,1
14150000,2
14200000,4
14250000,4
14275000,1
14325000,1
14350000,1
14375000,1
14400000,3
14500000,4
14550000,3
14625000,3
14650000,1
14675000,3
14750000,4
14800000,1
14825000,1
14850000,2
14875000,1
14925000,4
14950000,2
14975000,1
15000000,10
15050000,1
15100000,3
15125000,1
15200000,2
15250000,3
15275000,3
15350000,1
15475000,1
15500000,4
15525000,2
15600000,1
15625000,2
15650000,2
15750000,1
15775000,1
15825000,1
15875000,1
15900000,1
16000000,5
16025000,1
16050000,2
16100000,1
16150000,1
16200000,1
16225000,3
16250000,1
16275000,1
16325000,2
16400000,2
16425000,1
16450000,1
16500000,8
16525000,2
16600000,1
16650000,1
16675000,1
16775000,2
16800000,2
16850000,1
16900000,1
16925000,1
17000000,4
17025000,1
17100000,3
17250000,1
17300000,2
17325000,1
17350000,1
17475000,2
17500000,3
17550000,3
17650000,1
17700000,3
17750000,2
17775000,2
17800000,2
17825000,1
17875000,1
17900000,4
17925000,1
18000000,9
18075000,1
18100000,4
18125000,1
18200000,2
18225000,2
18250000,3
18300000,1
18325000,1
18350000,1
18425000,3
18475000,3
18500000,3
18525000,1
18550000,1
18600000,2
18650000,2
18700000,4
18725000,1
18750000,2
18800000,2
18850000,2
19000000,5
19325000,2
19450000,1
19500000,9
19550000,2
19600000,2
19675000,1
19700000,1
19750000,2
19800000,1
19850000,2
19875000,1
19900000,1
19975000,1
20000000,10
20075000,1
20125000,1
20150000,1
20200000,3
20325000,4
20400000,2
20425000,1
20500000,7
20525000,1
20575000,2
20700000,1
20875000,1
21000000,5
21050000,1
21125000,1
21225000,1
21275000,1
21300000,2
21350000,1
21375000,1
21400000,1
21450000,1
21500000,3
21625000,1
21700000,1
21725000,1
21850000,1
21900000,2
21975000,2
22000000,4
22050000,1
22100000,1
22125000,2
22150000,1
22200000,1
22250000,2
22400000,1
22425000,1
22450000,1
22500000,3
22575000,1
22600000,1
22650000,1
22700000,1
22750000,1
22925000,1
23000000,6
23050000,1
23100000,3
23475000,1
23500000,1
23550000,1
23650000,1
23800000,2
23825000,1
24000000,3
24050000,1
24075000,1
24200000,1
24250000,2
24300000,1
24400000,1
24500000,3
24600000,2
24750000,1
24775000,1
24800000,1
24900000,1
25000000,8
25025000,1
25250000,1
25300000,2
25400000,1
25500000,1
25625000,1
25650000,1
25950000,1
26100000,1
26300000,1
26425000,1
26500000,1
26625000,1
26650000,1
26700000,1
26725000,1
26775000,1
27000000,1
27125000,1
27275000,1
27400000,2
27450000,1
27500000,1
27650000,1
27725000,1
27800000,1
27850000,2
28000000,3
28250000,1
28350000,1
28400000,1
28450000,1
28500000,2
28750000,1
28775000,1
28850000,3
29000000,2
29100000,1
29250000,1
29275000,1
29350000,1
29375000,1
29500000,1
29650000,2
29700000,1
29750000,1
29950000,1
29975000,1
30000000,3
30125000,1
30250000,1
30325000,1
30475000,1
30500000,1
30600000,2
30900000,1
31000000,3
31100000,2
31500000,2
31625000,1
31800000,3
32000000,2
32150000,2
32175000,1
32275000,1
32500000,1
32525000,1
32575000,1
32750000,1
33000000,3
33025000,1
33050000,1
33125000,3
33500000,1
33750000,2
33950000,1
34000000,2
34125000,1
34400000,1
34500000,1
34550000,1
34650000,1
34675000,1
34700000,1
34975000,1
35000000,4
35100000,1
35625000,2
35750000,1
35950000,1
36075000,1
36150000,1
36425000,1
36500000,2
36750000,1
36800000,1
36950000,1
36975000,1
37000000,4
37100000,2
37125000,1
37225000,1
37650000,1
37750000,1
37925000,1
37950000,1
38000000,1
38050000,1
38350000,1
38400000,2
38500000,1
38700000,7
38750000,1
38825000,2
39700000,1
40000000,1
40500000,1
40800000,1
41250000,1
41325000,1
41400000,1
41475000,1
41875000,1
42000000,2
43075000,1
43150000,1
43200000,1
43500000,1
43650000,1
44000000,1
44075000,2
44500000,1
44600000,11
45000000,2
45950000,1
46000000,1
46100000,1
46500000,1
46625000,1
46725000,1
47000000,1
47525000,1
47950000,1
48275000,1
48400000,2
48500000,1
48600000,2
49450000,1
49500000,2
50000000,2
51375000,1
52800000,1
53000000,1
53025000,1
53800000,1
54000000,1
54075000,1
54500000,1
54950000,1
56500000,1
57000000,1
57750000,1
58650000,2
59000000,1
59300000,1
59525000,1
59550000,1
60000000,3
60850000,1
60900000,1
65000000,1
66550000,1
67400000,1
67625000,1
69275000,1
69750000,1
69925000,1
71000000,1
71350000,1
71775000,1
74700000,1
74900000,1
74925000,1
77350000,1
78000000,1
80100000,1
80700000,1
82000000,1
83475000,1
84500000,1
84750000,1
90000000,1
93825000,1
100000000,1
101000000,1
104400000,1
106200000,1
115000000,1
115500000,1
120000000,1
129700000,1
130950000,1
138900000,1
150000000,1
161900000,1
164300000,2
