height in cm	gender	count
132	female	1
135	female	1
138	female	1
141	female	6
144	female	31
147	female	66
150	female	138
153	female	249
156	female	397
159	female	473
162	female	514
165	female	431
168	female	289
171	female	184
174	female	97
177	female	47
180	female	14
183	female	3
186	female	1
189	female	2
192	female	
195	female	
198	female	
201	female	
132	male	
135	male	
138	male	
141	male	
144	male	1
147	male	1
150	male	
153	male	10
156	male	23
159	male	46
162	male	92
165	male	181
168	male	294
171	male	355
174	male	398
177	male	397
180	male	328
183	male	204
186	male	142
189	male	87
192	male	39
195	male	13
198	male	4
201	male	1
